letteratura/Pascoli/digitale-purpurea.md -> letteratura/Pascoli/pascoli-digitale-purpurea.md | AUTORE: GIOVANNI PASCOLI | TIPO: DIGITALE PURPUREA
letteratura/Pascoli/forma.md -> letteratura/Pascoli/pascoli-forma.md | AUTORE: GIOVANNI PASCOLI | TIPO: FORMA
letteratura/Pascoli/poetica-del-fanciullino.md -> letteratura/Pascoli/pascoli-poetica-del-fanciullino.md | AUTORE: GIOVANNI PASCOLI | TIPO: POETICA DEL FANCIULLINO
letteratura/Pascoli/simbolismo.md -> letteratura/Pascoli/pascoli-simbolismo.md | AUTORE: GIOVANNI PASCOLI | TIPO: SIMBOLISMO
letteratura/Pascoli/stupore.md -> letteratura/Pascoli/pascoli-stupore.md | AUTORE: GIOVANNI PASCOLI | TIPO: STUPORE
letteratura/Pascoli/visione-del-mondo.md -> letteratura/Pascoli/pascoli-visione-del-mondo.md | AUTORE: GIOVANNI PASCOLI | TIPO: VISIONE DEL MONDO
letteratura/Pascoli/vita.md -> letteratura/Pascoli/pascoli-vita.md | AUTORE: GIOVANNI PASCOLI | TIPO: VITA
letteratura/Svevo/biografia.md -> letteratura/Svevo/svevo-biografia.md | AUTORE: ITALO SVEVO | TIPO: BIOGRAFIA
letteratura/Svevo/deflagrazione-finale.md -> letteratura/Svevo/svevo-deflagrazione-finale.md | AUTORE: ITALO SVEVO | TIPO: DEFLAGRAZIONE FINALE
letteratura/Svevo/funerale-guido-lapsus.md -> letteratura/Svevo/svevo-funerale-guido-lapsus.md | AUTORE: ITALO SVEVO | TIPO: FUNERALE GUIDO LAPSUS
letteratura/Svevo/inetto-uomo-futuro.md -> letteratura/Svevo/svevo-inetto-uomo-futuro.md | AUTORE: ITALO SVEVO | TIPO: INETTO UOMO FUTURO
letteratura/Svevo/personaggi-principali.md -> letteratura/Svevo/svevo-personaggi-principali.md | AUTORE: ITALO SVEVO | TIPO: PERSONAGGI PRINCIPALI
letteratura/Svevo/poetica-ironia-senso-colpa.md -> letteratura/Svevo/svevo-poetica-ironia-senso-colpa.md | AUTORE: ITALO SVEVO | TIPO: POETICA IRONIA SENSO COLPA
letteratura/Svevo/riassunto-coscienza-zeno.md -> letteratura/Svevo/svevo-riassunto-coscienza-zeno.md | AUTORE: ITALO SVEVO | TIPO: RIASSUNTO COSCIENZA ZENO
letteratura/Svevo/struttura-coscienza-zeno.md -> letteratura/Svevo/svevo-struttura-coscienza-zeno.md | AUTORE: ITALO SVEVO | TIPO: STRUTTURA COSCIENZA ZENO
letteratura/Svevo/tre-giudizi-inetto.md -> letteratura/Svevo/svevo-tre-giudizi-inetto.md | AUTORE: ITALO SVEVO | TIPO: TRE GIUDIZI INETTO
letteratura/Svevo/verita-prefazioni.md -> letteratura/Svevo/svevo-verita-prefazioni.md | AUTORE: ITALO SVEVO | TIPO: VERITA PREFAZIONI
letteratura/Svevo/zeno-complessita-vita.md -> letteratura/Svevo/svevo-zeno-complessita-vita.md | AUTORE: ITALO SVEVO | TIPO: ZENO COMPLESSITA VITA
letteratura/Svevo/zeno-padre.md -> letteratura/Svevo/svevo-zeno-padre.md | AUTORE: ITALO SVEVO | TIPO: ZENO PADRE
